ligand_pdb_id,protein_pdb_id
3f8e,1eou
3f8e,4m2v
3f8e,5sz3
3f8e,4zwx
3f8e,1zfk
3f8e,4ruz
3f8e,5o07
3f8e,5u0e
3f8e,4q08
3f8e,4e49
3f8e,4qiy
3f8e,3bl1
3f8e,3t84
3f8e,5nya
3f8e,5tya
3f8e,4q90
3f8e,3r17
3f8e,6q9t
3f8e,1zsb
3f8e,4rn4
3f8e,5ehe
3f8e,3nb5
3f8e,6eda
3f8e,6ic2
3f8e,3ibn
3f8e,5fdi
3f8e,5nee
3f8e,6ql3
3f8e,3s76
3f8e,5nxi
3f8e,2hd6
3f8e,3oil
3f8e,3m96
3f8e,6uh0
3f8e,6odz
3f8e,1i8z
3f8e,5ny6
3f8e,1cny
3f8e,5n25
3f8e,2gd8
3f8e,3ml2
3f8e,5sz2
3f8e,5txy
3f8e,3rz0
3f8e,3d9z
3f8e,1a42
3f8e,6cjv
3f8e,5ty8
3f8e,5a6h
3f8e,3p3h
3f8e,1g45
3f8e,1g54
3f8e,5ehv
3f8e,5llg
3f8e,3oim
3f8e,3mhc
3f8e,4iwz
3f8e,5fni
3f8e,3p55
3f8e,3ryj
3f8e,1i90
3f8e,4q87
3f8e,5drs
3f8e,5eh7
3f8e,3dcc
3f8e,4zx1
3f8e,1xpz
3f8e,3mhi
3f8e,1g1d
3f8e,2ez7
3f8e,3f8e
3f8e,4q06
3f8e,3s78
3f8e,5j8z
3f8e,2o4z
3f8e,4r59
3f8e,4z0q
3f8e,5ty9
3f8e,4zx0
3f8e,4yx4
3f8e,6ecz
3f8e,6qfw
3f8e,4z1j
3f8e,4r5a
3f8e,2qp6
3f8e,6got
3f8e,6ugn
3f8e,6h2z
3f8e,4q81
3f8e,6oe0
3f8e,5eh8
3f8e,4rux
3f8e,5ehw
3f8e,6d1l
3f8e,6qfv
3f8e,1oq5
3f8e,5ty1
3f8e,6ebe
3f8e,1cin
3f8e,4jsz
3f8e,5flt
3f8e,4q07
3f8e,3kwa
3f8e,3mhl
3f8e,4q7v
3f8e,5llc
3f8e,2q38
3f8e,1bnw
3f8e,3ni5
3f8e,2x7u
3f8e,3mzc
3f8e,4bf6
3f8e,6h34
3f8e,2qoa
3f8e,6c7x
3f8e,1z9y
3f8e,5mjn
3f8e,4q6d
3f8e,4qy3
3f8e,5thi
3f8e,5fdc
3f8e,2wd3
3f8e,1i91
3f8e,6ql1
3f8e,6rvl
3f8e,3ibl
3f8e,3p58
3f8e,2h4n
3f8e,4rfc
3f8e,2pou
3f8e,3v5g
3f8e,5sz1
3f8e,4q8x
3f8e,5ekm
3f8e,5u0g
3f8e,1kwr
3f8e,6equ
3f8e,5e2s
3f8e,3igp
3f8e,3oyq
3f8e,3rz5
3f8e,1bnq
3f8e,6c7w
3f8e,5uln
3f8e,1g4j
3f8e,2osf
3f8e,5fls
3f8e,6e92
3f8e,3sax
3f8e,3oku
3f8e,4bcw
3f8e,3kig
3f8e,2nnv
3f8e,3ibu
3f8e,4e3g
3f8e,5ljq
3f8e,4yyt
3f8e,1g48
3f8e,3s73
3f8e,1i9q
3f8e,3m67
3f8e,4mlt
3f8e,5sz7
3f8e,5thn
3f8e,4pyy
3f8e,5nxv
3f8e,3s74
3f8e,5ti0
3f8e,1g46
3f8e,2qo8
3f8e,3rz8
3f8e,4ht0
3f8e,4e3f
3f8e,4q99
3f8e,5sz6
3f8e,3hkt
3f8e,4cq0
3f8e,1bcd
3f8e,4e3d
3f8e,3m3x
3f8e,3oik
3f8e,3dd0
3f8e,3ryy
3f8e,5u0f
3f8e,3t5u
3f8e,4bf1
3f8e,6g3q
3f8e,1ydb
3f8e,3cyu
3f8e,6h33
3f8e,3s71
3f8e,6h3q
3f8e,6oe1
3f8e,5flo
3f8e,3m40
3f8e,4z1k
3f8e,6bbs
3f8e,6d1m
3f8e,3p4v
3f8e,1if8
3f8e,3r16
3f8e,6ugo
3f8e,6e8x
3f8e,1g52
3f8e,2pow
3f8e,5wlt
3f8e,5eh5
3f8e,6rw1
3f8e,3okv
3f8e,6eea
3f8e,1if7
3f8e,5gmn
3f8e,6bc9
3f8e,1bn1
3f8e,3t82
3f8e,5vgy
3f8e,4q6e
3f8e,3ffp
3f8e,6hx5
3f8e,2q1q
3f8e,2x7t
3f8e,5amg
3f8e,5e2r
3f8e,4knj
3f8e,3mho
3f8e,5n1s
3f8e,1cnw
3f8e,1i9o
3f8e,5e2k
3f8e,5nxo
3f8e,5nxg
3f8e,1kwq
3f8e,5sz0
